Episode,Episode_Reward,Moving_Average_Reward
1,-7.074,-7.074
2,-7.004,-7.039
3,-3.41,-5.829
4,0.377,-4.278
5,-2.449,-3.912
6,-0.916,-3.413
7,5.114,-2.194
8,4.545,-1.352
9,2.874,-0.882
10,6.786,-0.116
11,5.611,0.405
12,6.903,0.946
13,9.927,1.637
14,5.749,1.931
15,7.386,2.295
16,11.413,2.865
17,11.362,3.364
18,15.709,4.05
19,13.637,4.555
20,13.315,4.993
21,21.404,6.417
22,18.024,7.668
23,19.564,8.817
24,16.597,9.628
25,19.52,10.726
26,21.84,11.864
27,19.33,12.575
28,23.753,13.535
29,21.885,14.486
30,23.196,15.306
31,22.929,16.172
32,29.544,17.304
33,25.332,18.075
34,23.15,18.945
35,28.257,19.988
36,23.537,20.594
37,27.481,21.4
38,22.417,21.736
39,24.34,22.271
40,28.488,23.029
41,30.171,23.468
42,29.078,24.02
43,28.683,24.476
44,28.542,25.074
45,25.925,25.394
46,28.153,25.71
47,29.139,26.2
48,33.28,26.676
49,31.854,27.175
50,26.957,27.363
51,32.558,27.844
52,31.184,27.926
53,30.869,28.203
54,34.522,28.772
55,36.02,29.16
56,36.239,29.795
57,32.299,30.036
58,34.13,30.621
59,36.256,31.217
60,38.41,31.713
61,35.335,31.971
62,36.648,32.35
63,34.942,32.663
64,35.33,33.002
65,40.979,33.755
66,42.979,34.496
67,40.061,35.042
68,43.413,35.549
69,42.481,36.08
70,40.643,36.765
71,43.843,37.329
72,47.473,38.143
73,44.226,38.811
74,48.915,39.531
75,39.138,39.687
76,48.421,40.296
77,47.255,41.044
78,46.951,41.685
79,48.578,42.301
80,44.015,42.581
81,49.054,43.267
82,51.096,43.99
83,54.479,44.967
84,50.048,45.702
85,49.857,46.146
86,51.134,46.554
87,55.161,47.309
88,54.15,47.846
89,52.43,48.343
90,55.434,49.083
91,54.759,49.629
92,57.272,50.119
93,53.397,50.577
94,54.603,50.862
95,54.679,51.639
96,52.206,51.828
97,56.779,52.304
98,56.834,52.798
99,56.306,53.185
100,55.789,53.773
101,52.89,53.965
102,55.403,54.18
103,55.598,54.236
104,54.424,54.455
105,55.98,54.761
106,57.325,55.071
107,60.942,55.36
108,56.559,55.48
109,56.647,55.691
110,55.685,55.704
111,50.931,55.512
112,55.511,55.424
113,55.572,55.533
114,61.419,55.874
115,54.619,55.871
116,55.695,56.045
117,54.698,55.941
118,51.713,55.685
119,57.35,55.737
120,56.241,55.76
121,56.219,55.927
122,51.863,55.75
123,57.555,55.847
124,50.472,55.65
125,55.392,55.62
126,59.369,55.723
127,51.407,55.246
128,52.482,55.042
129,54.184,54.919
130,52.738,54.772
131,50.207,54.735
132,54.368,54.678
133,51.678,54.483
134,55.682,54.197
135,52.388,54.085
136,58.774,54.239
137,53.179,54.163
138,54.592,54.307
139,57.714,54.325
140,52.907,54.159
141,56.877,54.191
142,59.919,54.594
143,52.991,54.366
144,57.845,54.735
145,58.42,54.886
146,60.123,54.924
147,55.483,55.128
148,55.689,55.288
149,60.713,55.614
150,60.572,56.006
151,60.878,56.54
152,61.537,56.898
153,59.386,57.283
154,62.075,57.603
155,62.627,58.115
156,60.497,58.201
157,67.323,58.908
158,64.203,59.389
159,60.384,59.522
160,65.328,60.144
161,61.553,60.377
162,66.239,60.693
163,67.426,61.415
164,62.711,61.658
165,67.378,62.106
166,66.182,62.409
167,67.358,63.003
168,70.0,63.719
169,64.909,63.928
170,63.704,64.085
171,63.403,64.211
172,63.596,64.314
173,65.423,64.616
174,66.422,64.833
175,66.187,65.011
176,67.463,65.36
177,65.303,65.259
178,68.755,65.486
179,64.289,65.681
180,70.0,65.915
181,66.112,66.143
182,62.177,65.94
183,61.399,65.639
184,65.027,65.754
185,62.994,65.535
186,65.062,65.479
187,64.177,65.32
188,62.525,64.946
189,60.301,64.716
190,58.343,64.448
191,60.728,64.314
192,63.704,64.32
193,61.824,64.14
194,57.911,63.714
195,61.205,63.465
196,61.497,63.167
197,58.1,62.806
198,60.488,62.393
199,60.062,62.182
200,56.893,61.526
201,60.5,61.246
202,60.887,61.181
203,62.096,61.216
204,61.951,61.062
205,55.828,60.704
206,56.909,60.296
207,60.549,60.115
208,60.582,60.018
209,60.648,60.035
210,69.082,60.572
211,60.993,60.585
212,62.547,60.528
213,62.261,60.549
214,61.696,60.739
215,59.494,60.653
216,62.416,60.699
217,58.844,60.736
218,60.459,60.735
219,60.131,60.738
220,61.857,60.986
221,67.76,61.349
222,57.637,61.187
223,64.363,61.3
224,58.963,61.151
225,62.168,61.468
226,66.426,61.944
227,64.219,62.127
228,61.717,62.184
229,62.972,62.3
230,66.801,62.186
231,63.609,62.317
232,66.297,62.505
233,66.178,62.7
234,64.728,62.852
235,70.0,63.377
236,68.475,63.68
237,62.063,63.841
238,67.806,64.209
239,65.876,64.496
240,69.828,64.894
241,65.856,64.799
242,67.664,65.301
243,69.3,65.547
244,70.0,66.099
245,65.127,66.247
246,67.295,66.291
247,66.919,66.426
248,66.42,66.661
249,70.0,67.012
250,68.88,67.116
251,64.583,67.165
252,69.874,67.344
253,70.0,67.535
254,69.778,67.787
255,63.175,67.446
256,65.521,67.298
257,69.64,67.677
258,64.429,67.508
259,67.02,67.565
260,67.548,67.451
261,62.986,67.308
262,64.84,67.167
263,56.566,66.53
264,61.786,66.119
265,63.394,66.033
266,60.587,65.697
267,67.473,65.725
268,59.509,65.379
269,61.685,64.964
270,62.825,64.661
271,65.827,64.723
272,58.375,64.148
273,64.631,63.88
274,61.527,63.467
275,58.845,63.251
276,62.274,63.088
277,61.46,62.679
278,59.329,62.424
279,60.898,62.118
280,59.679,61.725
281,60.873,61.619
282,62.218,61.488
283,64.529,61.886
284,57.498,61.672
285,65.982,61.801
286,55.852,61.564
287,60.463,61.214
288,62.45,61.361
289,61.842,61.369
290,59.768,61.216
291,61.012,60.975
292,60.529,61.083
293,60.537,60.878
294,64.401,61.022
295,63.453,61.252
296,61.125,61.195
297,65.416,61.393
298,64.256,61.639
299,65.848,61.887
300,65.724,62.189
