Episode,PPO_Reward,TRPO_Reward,DDPG_Reward,PPO_Average,TRPO_Average,DDPG_Average,GMM_Cluster
1,32.33,28.58,35.34,32.33,28.58,35.34,1
2,34.43,32.15,40.16,33.38,30.37,37.75,1
3,38.2,34.77,29.74,34.99,31.83,35.08,1
4,40.01,36.81,38.52,36.24,33.08,35.94,1
5,40.88,37.71,36.14,37.17,34.0,35.98,1
6,43.26,41.86,38.72,38.19,35.31,36.43,1
7,46.68,39.79,39.48,39.4,35.95,36.87,1
8,45.26,43.47,40.35,40.13,36.89,37.3,1
9,48.33,45.03,44.33,41.04,37.8,38.09,1
10,48.77,47.51,42.94,41.82,38.77,38.57,1
11,49.91,49.05,47.77,43.57,40.82,39.81,1
12,54.3,47.26,48.62,45.56,42.33,40.66,1
13,54.63,47.29,48.56,47.2,43.58,42.54,1
14,56.14,54.36,47.65,48.82,45.33,43.45,1
15,58.12,53.54,49.74,50.54,46.92,44.82,1
16,57.54,52.99,56.07,51.97,48.03,46.55,1
17,59.63,58.49,55.92,53.26,49.9,48.2,1
18,59.38,57.05,52.21,54.67,51.26,49.38,1
19,61.68,60.29,57.03,56.01,52.78,50.65,1
20,61.8,58.99,60.12,57.31,53.93,52.37,1
21,63.44,64.14,52.79,58.67,55.44,52.87,1
22,65.16,64.34,61.22,59.75,57.15,54.13,1
23,63.27,60.99,57.51,60.62,58.52,55.03,1
24,70.0,64.81,63.29,62.0,59.56,56.59,1
25,64.95,64.71,58.99,62.68,60.68,57.52,1
26,65.91,67.39,56.65,63.52,62.12,57.57,1
27,70.95,63.48,57.94,64.65,62.62,57.78,1
28,71.05,67.52,64.47,65.82,63.67,59.0,1
29,65.66,63.99,59.18,66.22,64.04,59.22,2
30,66.55,59.2,55.93,66.69,64.06,58.8,2
31,66.65,61.5,62.57,67.01,63.79,59.77,2
32,65.35,60.12,54.67,67.03,63.37,59.12,2
33,67.69,64.24,60.74,67.48,63.7,59.44,2
34,66.87,66.75,57.18,67.16,63.89,58.83,2
35,71.33,69.66,60.66,67.8,64.38,59.0,2
36,69.31,66.87,62.95,68.14,64.33,59.63,2
37,68.62,70.5,60.22,67.91,65.03,59.86,2
38,70.51,65.39,62.85,67.85,64.82,59.69,2
39,72.11,65.04,67.89,68.5,64.93,60.57,2
40,71.05,69.0,63.0,68.95,65.91,61.27,2
41,70.47,69.84,67.68,69.33,66.74,61.78,2
42,73.96,70.41,62.46,70.19,67.77,62.56,2
43,73.58,66.07,67.7,70.78,67.95,63.26,2
44,73.47,71.15,72.19,71.44,68.39,64.76,2
45,74.2,69.33,59.13,71.73,68.36,64.61,2
46,75.47,73.34,64.87,72.34,69.01,64.8,2
47,73.4,73.6,70.67,72.82,69.32,65.84,2
48,73.31,70.9,67.63,73.1,69.87,66.32,2
49,74.8,72.01,69.82,73.37,70.56,66.52,2
50,76.85,71.93,67.6,73.95,70.86,66.98,2
51,78.26,74.37,70.45,74.73,71.31,67.25,2
52,80.42,76.5,69.57,75.37,71.92,67.96,2
53,79.98,73.24,74.89,76.02,72.64,68.68,2
54,78.45,76.51,71.94,76.51,73.17,68.66,2
55,79.12,74.85,72.62,77.01,73.73,70.01,2
56,77.39,74.39,69.95,77.2,73.83,70.51,2
57,79.86,76.4,70.4,77.84,74.11,70.49,2
58,79.31,74.52,70.44,78.44,74.47,70.77,2
59,80.42,75.53,73.27,79.01,74.83,71.11,2
60,79.63,75.37,71.8,79.29,75.17,71.53,2
61,81.62,81.35,73.72,79.62,75.87,71.86,2
62,83.98,77.98,80.5,79.98,76.02,72.95,2
63,80.98,76.51,76.17,80.08,76.34,73.08,2
64,82.94,79.25,73.1,80.53,76.62,73.2,2
65,83.32,78.51,78.22,80.95,76.98,73.76,2
66,81.91,78.8,73.16,81.4,77.42,74.08,2
67,82.99,80.45,67.33,81.71,77.83,73.77,2
68,83.04,81.13,71.37,82.08,78.49,73.87,2
69,83.52,78.86,68.67,82.39,78.82,73.41,2
70,81.86,78.71,73.83,82.62,79.15,73.61,2
71,83.52,79.53,75.33,82.81,78.97,73.77,2
72,84.71,75.79,81.46,82.88,78.75,73.86,2
73,89.73,80.21,80.46,83.75,79.12,74.29,3
74,89.02,86.15,78.7,84.36,79.81,74.85,3
75,91.0,86.58,82.13,85.13,80.62,75.24,3
76,86.68,83.62,72.52,85.61,81.1,75.18,3
77,89.92,85.54,81.36,86.3,81.61,76.58,3
78,87.41,83.93,81.74,86.74,81.89,77.62,3
79,92.57,90.82,75.6,87.64,83.09,78.31,3
80,87.15,86.9,84.71,88.17,83.91,79.4,3
81,87.48,84.75,82.29,88.57,84.43,80.1,3
82,88.39,83.52,80.15,88.93,85.2,79.97,3
83,85.38,82.01,83.49,88.5,85.38,80.27,3
84,88.22,85.61,89.14,88.42,85.33,81.31,3
85,87.38,83.34,81.31,88.06,85.0,81.23,3
86,89.04,82.04,81.53,88.29,84.85,82.13,3
87,90.59,84.65,80.41,88.36,84.76,82.04,3
88,93.64,84.03,79.33,88.98,84.77,81.8,3
89,91.81,89.45,85.0,88.91,84.63,82.74,3
90,88.35,87.24,78.25,89.03,84.66,82.09,3
91,88.48,86.08,82.28,89.13,84.8,82.09,3
92,90.98,89.06,80.32,89.39,85.35,82.11,3
93,87.28,85.9,83.15,89.58,85.74,82.07,3
94,94.22,85.11,84.06,90.18,85.69,81.56,3
95,92.9,89.76,86.33,90.73,86.33,82.07,3
96,89.79,87.69,80.73,90.8,86.9,81.99,3
97,87.35,84.38,81.32,90.48,86.87,82.08,3
98,93.53,86.64,79.56,90.47,87.13,82.1,3
99,90.29,84.77,80.72,90.32,86.66,81.67,3
100,93.56,84.48,84.54,90.84,86.39,82.3,3
