"Vehicle_ID","Vehicle_Type","Road","Speed","Waiting_Time","Traffic_Level","Vehicle_Count","Weather_Condition","Accident_Status","Signal_Delay"
1,"Truck","Street",57.52,14.6,"High",198,"Cloudy","No",56.16
2,"Van","Rural Road",23.24,21.18,"High",91,"Rainy","Yes",47.84
3,"Truck","Junction",26.5,2.25,"Low",116,"Foggy","No",10.68
4,"Bus","Main Road",24.15,21.79,"Medium",152,"Rainy","No",58.72
5,"Bus","Highway",89.69,12.77,"Low",25,"Cloudy","No",50.31
6,"Van","Rural Road",65.02,22.89,"Medium",148,"Foggy","No",14.2
7,"Truck","Highway",98.51,14.98,"High",73,"Foggy","Yes",5.44
8,"Auto","Street",75.4,2.61,"Medium",197,"Sunny","No",49.17
9,"Bike","Highway",21.57,24.16,"High",162,"Cloudy","Yes",59.45
10,"Van","Highway",38.46,25.94,"Medium",28,"Sunny","No",51
11,"Van","Junction",116.7,14.87,"High",190,"Cloudy","No",16.27
12,"Car","Junction",32.58,1.89,"Low",92,"Cloudy","No",59.83
13,"Bus","Junction",109.16,7.9,"Medium",186,"Sunny","No",13.69
14,"Truck","Rural Road",65.59,4.35,"High",53,"Cloudy","No",2.47
15,"Auto","Bridge",30.27,8.56,"High",127,"Foggy","No",45.09
16,"Truck","Expressway",73.14,8.39,"Medium",44,"Sunny","No",55.09
17,"Truck","City Road",41.06,27.44,"Low",104,"Foggy","No",56.57
18,"Car","Junction",20.43,5.25,"Medium",41,"Cloudy","No",39.22
19,"Bike","City Road",78.25,12.04,"Medium",168,"Sunny","No",6.3
20,"Car","City Road",102.96,8.36,"High",62,"Sunny","No",35.92
21,"Car","Street",84.22,18.9,"Low",90,"Sunny","No",48.51
22,"Auto","Rural Road",116.62,21.04,"Medium",11,"Sunny","No",23.65
23,"Truck","Highway",31.69,20.07,"Low",125,"Rainy","No",49.1
24,"Bus","Expressway",83.59,2.85,"Low",200,"Sunny","No",39.6
25,"Bus","Bridge",46.2,20.47,"Medium",18,"Rainy","No",23.5
26,"Car","Highway",20.38,13.45,"Low",177,"Cloudy","No",21.71
27,"Van","Junction",119.9,2.93,"Low",140,"Sunny","No",33.64
28,"Truck","City Road",62.66,12.01,"Medium",27,"Foggy","No",51.67
29,"Bike","City Road",102.57,22.87,"Medium",153,"Foggy","No",47.48
30,"Van","Bridge",47.01,21.04,"Medium",18,"Rainy","No",22.58
31,"Car","Highway",111.78,26.59,"High",71,"Sunny","No",7.15
32,"Truck","Junction",34.95,4.7,"Low",160,"Rainy","No",0.05
33,"Auto","Rural Road",41.38,29.42,"High",179,"Cloudy","No",1.43
34,"Bike","Rural Road",110.73,25.17,"High",16,"Rainy","No",45.13
35,"Bus","Main Road",57.92,3.72,"Low",140,"Rainy","No",33.55
36,"Auto","City Road",26.43,22.97,"Medium",146,"Sunny","No",51.23
37,"Car","Main Road",28.83,4.67,"High",168,"Sunny","No",26.76
38,"Car","Main Road",47.4,6.09,"Medium",192,"Cloudy","Yes",3.69
39,"Bus","Rural Road",84.15,20.44,"Low",180,"Rainy","No",40.92
40,"Truck","Highway",93.7,1.66,"Medium",172,"Sunny","Yes",25.11
41,"Bike","Main Road",68,9.88,"Medium",79,"Sunny","No",6.1
42,"Auto","City Road",22.6,5.49,"Low",56,"Cloudy","No",37.36
43,"Auto","Highway",118.96,26.94,"Medium",98,"Cloudy","No",1.38
44,"Truck","Junction",60.75,11.7,"Medium",167,"Foggy","No",37.5
45,"Van","City Road",57.52,2.89,"Medium",43,"Sunny","No",22.17
46,"Car","Bridge",60.32,13.4,"High",122,"Cloudy","No",21.06
47,"Bus","Street",70.43,19.71,"Low",68,"Cloudy","No",27.31
48,"Auto","Rural Road",37.66,27.48,"High",81,"Sunny","No",13.4
49,"Auto","Junction",37.33,19.86,"High",171,"Rainy","No",40.8
50,"Bike","City Road",59.38,7.15,"High",136,"Rainy","No",56.45
51,"Auto","Highway",79.11,24.54,"Low",91,"Sunny","No",10.19
52,"Bus","City Road",94.28,22.7,"Medium",197,"Cloudy","No",57.07
53,"Car","Bridge",41.66,24.68,"Medium",195,"Cloudy","No",17.19
54,"Car","Expressway",59.71,17.87,"High",104,"Rainy","No",13.2
55,"Truck","Expressway",34.95,16.79,"High",47,"Rainy","No",18.97
56,"Car","Rural Road",64.04,11.07,"High",65,"Cloudy","No",51.18
