State,Action,Reward,Gamma
8,0,-5.0,0.954
6,1,0.47,0.85
7,0,3.74,0.926
5,1,1.8,0.895
5,0,-0.7,0.921
8,0,2.08,0.908
9,1,0.37,0.885
5,1,-2.69,0.85
8,1,2.57,0.918
7,0,-0.45,0.898
9,1,0.16,0.854
6,0,-1.57,0.947
8,0,-3.65,0.921
8,0,-1.86,0.921
6,1,2.27,0.958
9,1,-0.83,0.898
9,0,-2.05,0.988
9,1,5.77,0.899
4,0,-0.65,0.927
6,0,-4.51,0.91
7,0,-3.23,0.948
8,0,-1.25,0.915
5,1,0.49,0.921
7,0,-0.77,0.91
6,0,0.23,0.931
7,1,-5.0,0.926
8,1,4.13,0.99
8,0,-0.38,0.876
8,1,-3.91,0.891
4,1,-4.15,0.99
7,1,1.85,0.894
8,0,3.17,0.936
9,0,1.25,0.914
5,1,-2.66,0.968
8,1,3.29,0.942
5,1,2.63,0.918
7,0,-1.52,0.935
6,1,-1.43,0.928
8,0,2.13,0.952
5,1,-3.63,0.934
9,0,-3.3,0.905
6,0,1.64,0.926
8,0,-1.69,0.98
9,1,-0.67,0.895
8,0,1.85,0.945
7,0,-2.01,0.869
8,1,0.17,0.873
8,0,-1.33,0.933
5,1,-0.74,0.936
8,0,-3.8,0.9
8,1,-2.24,0.99
9,1,-2.51,0.948
8,0,-0.15,0.916
7,1,0.41,0.85
4,0,-2.25,0.96
5,0,-0.76,0.945
8,1,1.03,0.893
7,0,-5.0,0.949
9,0,0.73,0.92
8,0,-2.28,0.919
6,1,0.53,0.923
9,1,2.24,0.948
7,1,3.19,0.878
8,0,-2.1,0.928
7,0,7.74,0.854
4,0,-4.73,0.929
4,1,-4.24,0.916
8,1,1.62,0.894
6,1,-0.91,0.944
5,1,-4.66,0.85
8,1,-0.54,0.897
6,0,-0.17,0.952
6,1,-1.6,0.927
8,0,-3.03,0.909
8,0,-2.86,0.931
6,1,-3.98,0.914
9,1,-0.47,0.951
7,1,-4.18,0.912
7,1,-1.62,0.943
9,0,0.88,0.883
8,1,-3.95,0.95
6,1,-0.6,0.89
6,0,-3.29,0.916
6,0,-1.76,0.933
6,0,-1.34,0.93
5,0,3.2,0.903
9,1,-1.91,0.918
6,0,-0.56,0.905
6,1,-1.48,0.974
8,1,-0.61,0.903
7,1,-1.39,0.892
8,1,-0.98,0.952
5,1,-5.0,0.93
5,0,-5.0,0.908
7,0,4.76,0.917
9,1,-2.07,0.904
8,0,1.41,0.99
6,0,-3.75,0.983
9,0,-0.76,0.909
7,0,-0.83,0.946
7,1,1.96,0.934
5,0,-2.41,0.974
6,1,-1.52,0.916
7,1,-3.87,0.984
9,1,-0.37,0.972
8,1,1.53,0.85
4,0,2.64,0.935
7,1,-4.7,0.868
8,1,3.58,0.909
8,0,4.53,0.941
5,0,-1.57,0.88
8,0,-0.84,0.947
6,0,0.71,0.876
5,1,0.84,0.905
8,0,0.95,0.91
8,0,-2.54,0.907
4,0,0.36,0.968
6,1,-5.0,0.936
8,0,-5.0,0.904
8,0,3.29,0.863
6,1,1.06,0.939
9,1,-1.09,0.893
7,0,-4.83,0.927
5,1,1.71,0.979
8,0,2.68,0.9
6,1,0.89,0.882
7,0,-1.5,0.888
8,1,0.52,0.881
8,0,-1.21,0.952
8,0,0.78,0.854
8,1,3.37,0.877
4,0,-2.12,0.871
7,0,0.86,0.907
6,1,-3.29,0.876
9,0,-2.45,0.91
7,1,-2.26,0.898
4,0,6.36,0.929
3,1,5.94,0.902
3,0,5.94,0.99
2,0,6.32,0.901
9,1,3.76,0.913
5,0,10.0,0.907
2,0,2.4,0.951
9,0,8.43,0.905
3,0,10.0,0.922
6,0,4.7,0.889
4,0,5.69,0.933
1,1,6.02,0.878
6,0,7.25,0.883
2,0,9.81,0.988
6,1,3.78,0.982
3,0,6.8,0.873
0,1,7.91,0.94
3,1,7.32,0.935
0,0,10.0,0.891
7,0,5.99,0.965
9,0,9.14,0.904
7,0,2.81,0.928
8,1,3.45,0.99
5,1,3.43,0.912
9,0,5.45,0.955
0,1,9.74,0.868
0,1,7.82,0.91
4,1,6.44,0.897
4,1,5.52,0.924
6,1,9.7,0.959
0,1,2.86,0.904
8,1,4.48,0.99
2,0,9.66,0.869
6,1,7.47,0.947
5,0,5.77,0.938
6,1,8.92,0.942
3,0,6.25,0.869
2,1,6.65,0.958
6,1,3.46,0.947
9,1,9.8,0.986
4,1,6.54,0.934
5,0,8.93,0.923
6,0,6.39,0.853
9,0,7.65,0.914
5,1,7.39,0.887
4,0,4.7,0.853
2,0,8.05,0.954
0,1,9.45,0.861
6,0,6.45,0.892
4,1,5.17,0.864
7,1,3.49,0.966
8,0,10.0,0.924
7,1,7.77,0.925
0,0,7.48,0.884
5,1,10.0,0.987
2,0,5.77,0.956
2,1,3.65,0.91
5,0,7.91,0.865
4,0,8.07,0.959
2,0,7.94,0.85
3,0,7.26,0.867
8,0,8.4,0.947
4,0,6.72,0.899
4,1,5.74,0.907
4,0,5.74,0.884
5,0,5.65,0.929
1,0,3.99,0.954
5,1,8.9,0.972
0,1,6.83,0.97
0,1,6.21,0.904
8,1,4.22,0.894
5,0,7.11,0.88
2,1,6.61,0.943
8,0,6.99,0.941
4,1,10.0,0.892
6,1,5.26,0.969
0,1,6.05,0.934
6,0,7.74,0.86
1,1,10.0,0.895
4,0,7.46,0.99
5,1,4.94,0.892
5,1,10.0,0.924
5,0,9.09,0.897
6,0,8.62,0.99
3,0,6.14,0.962
2,0,8.03,0.962
1,1,8.56,0.919
1,0,5.44,0.901
5,0,9.32,0.918
9,0,7.65,0.99
5,0,6.98,0.982
5,0,7.19,0.926
6,0,6.87,0.88
4,0,5.24,0.86
6,0,7.2,0.918
7,1,10.0,0.85
3,1,5.8,0.946
4,1,5.59,0.953
3,0,6.69,0.876
9,0,4.6,0.935
5,1,7.3,0.976
5,0,8.94,0.935
3,0,7.81,0.969
4,0,8.21,0.974
7,0,10.0,0.861
4,0,5.29,0.894
5,1,2.56,0.85
9,0,7.58,0.939
7,0,6.16,0.876
