Arm_1_Probability,Arm_2_Probability,Arm_3_Probability,Arm_4_Probability
0.527,0.45,0.114,0.697
0.934,0.546,0.611,0.756
0.611,0.48,0.941,0.734
0.875,0.692,0.766,0.451
0.639,0.787,0.592,0.691
0.686,0.328,0.738,0.747
0.788,0.063,0.499,0.759
0.913,0.797,0.377,0.763
0.757,0.338,0.769,0.536
0.641,0.553,0.567,0.891
0.905,0.234,0.508,0.755
0.551,0.594,0.473,0.689
0.603,0.38,0.223,0.807
0.638,0.315,0.369,0.746
0.644,0.637,0.823,0.416
0.772,0.272,0.436,0.67
0.472,0.195,0.333,0.565
0.779,0.121,0.95,0.653
0.647,0.9,0.62,0.622
0.636,0.71,0.218,0.799
0.549,0.491,0.291,0.694
0.641,0.301,0.424,0.783
0.707,0.752,0.682,0.568
0.609,0.548,0.537,0.862
0.641,0.625,0.637,0.626
0.659,0.588,0.066,0.645
0.461,0.343,0.949,0.439
0.809,0.411,0.512,0.749
0.81,0.41,0.174,0.643
0.468,0.868,0.294,0.4
0.779,0.527,0.75,0.66
0.576,0.365,0.863,0.739
0.652,0.107,0.611,0.793
0.549,0.794,0.411,0.511
0.655,0.323,0.846,0.548
0.743,0.657,0.855,0.531
0.585,0.439,0.437,0.729
0.79,0.634,0.453,0.368
0.531,0.27,0.745,0.717
0.698,0.73,0.285,0.495
0.696,0.162,0.189,0.779
0.67,0.586,0.756,0.615
0.5,0.334,0.397,0.555
0.799,0.05,0.357,0.678
0.603,0.307,0.716,0.624
0.766,0.546,0.402,0.879
0.838,0.276,0.526,0.729
0.577,0.427,0.454,0.761
0.663,0.719,0.562,0.546
0.624,0.365,0.207,0.927
0.273,0.408,0.379,0.305
0.659,0.285,0.286,0.504
0.638,0.314,0.531,0.779
0.95,0.412,0.541,0.495
0.522,0.869,0.476,0.61
0.556,0.716,0.578,0.676
0.773,0.387,0.64,0.693
0.421,0.535,0.05,0.927
0.631,0.269,0.603,0.77
0.59,0.358,0.35,0.85
0.808,0.566,0.62,0.381
0.767,0.181,0.688,0.305
0.915,0.459,0.838,0.522
0.585,0.369,0.367,0.792
0.897,0.457,0.95,0.734
0.605,0.904,0.244,0.691
0.761,0.875,0.256,0.493
0.784,0.316,0.677,0.671
0.62,0.567,0.515,0.582
0.95,0.839,0.174,0.523
0.77,0.352,0.483,0.672
0.547,0.575,0.598,0.653
0.724,0.644,0.454,0.506
0.642,0.426,0.288,0.819
0.637,0.416,0.296,0.662
0.725,0.697,0.245,0.6
0.651,0.235,0.467,0.5
0.739,0.572,0.194,0.601
0.615,0.534,0.441,0.595
0.722,0.05,0.548,0.9
0.622,0.403,0.186,0.547
0.775,0.668,0.555,0.68
0.622,0.597,0.307,0.789
0.58,0.639,0.464,0.734
0.615,0.611,0.491,0.689
0.7,0.672,0.926,0.725
0.743,0.198,0.315,0.581
0.726,0.689,0.569,0.661
0.557,0.671,0.489,0.459
0.782,0.389,0.481,0.6
0.769,0.499,0.441,0.701
0.69,0.37,0.444,0.401
0.689,0.794,0.061,0.534
0.629,0.823,0.08,0.812
0.661,0.441,0.95,0.71
0.792,0.118,0.276,0.607
0.379,0.327,0.708,0.681
0.358,0.684,0.316,0.772
0.596,0.24,0.467,0.921
0.571,0.479,0.51,0.663
0.663,0.432,0.748,0.586
0.403,0.781,0.459,0.74
0.802,0.648,0.449,0.436
0.629,0.537,0.213,0.266
0.576,0.259,0.491,0.478
0.95,0.265,0.631,0.653
0.636,0.815,0.91,0.589
0.934,0.569,0.119,0.564
0.762,0.365,0.873,0.589
0.549,0.36,0.95,0.748
0.758,0.711,0.481,0.787
0.528,0.294,0.473,0.755
0.812,0.61,0.662,0.728
0.876,0.67,0.666,0.374
0.711,0.39,0.641,0.681
0.673,0.382,0.318,0.782
0.436,0.948,0.756,0.703
0.656,0.653,0.145,0.566
0.68,0.489,0.05,0.787
0.814,0.333,0.842,0.846
0.759,0.64,0.692,0.346
0.763,0.182,0.393,0.731
0.565,0.499,0.145,0.822
0.588,0.691,0.787,0.358
0.708,0.272,0.779,0.769
0.805,0.618,0.68,0.69
0.755,0.519,0.439,0.754
0.837,0.284,0.558,0.669
0.463,0.354,0.464,0.837
0.826,0.329,0.605,0.891
0.846,0.352,0.843,0.674
0.817,0.875,0.46,0.732
0.666,0.436,0.653,0.787
0.86,0.672,0.29,0.631
0.524,0.255,0.325,0.95
0.768,0.567,0.373,0.653
0.752,0.512,0.472,0.482
0.684,0.6,0.458,0.744
0.469,0.595,0.456,0.454
0.811,0.606,0.303,0.532
0.626,0.558,0.95,0.884
0.709,0.141,0.376,0.654
0.623,0.95,0.468,0.536
0.779,0.138,0.74,0.645
0.62,0.066,0.207,0.652
0.871,0.618,0.635,0.594
0.689,0.583,0.511,0.558
0.747,0.671,0.301,0.763
0.855,0.369,0.55,0.628
0.464,0.266,0.228,0.486
0.398,0.697,0.802,0.739
0.814,0.544,0.343,0.707
0.543,0.639,0.05,0.607
0.544,0.482,0.398,0.725
0.807,0.336,0.05,0.526
0.59,0.435,0.737,0.551
0.738,0.05,0.771,0.714
0.792,0.74,0.82,0.506
0.517,0.654,0.894,0.536
0.717,0.776,0.66,0.678
0.654,0.296,0.95,0.603
0.717,0.397,0.05,0.806
0.616,0.665,0.05,0.676
0.689,0.536,0.471,0.767
0.616,0.601,0.558,0.727
0.317,0.182,0.516,0.93
0.689,0.95,0.366,0.703
0.437,0.547,0.901,0.636
0.827,0.29,0.184,0.675
0.503,0.356,0.613,0.757
0.703,0.536,0.569,0.519
0.512,0.23,0.529,0.759
0.837,0.591,0.372,0.706
0.497,0.595,0.328,0.645
0.517,0.735,0.785,0.777
0.321,0.05,0.721,0.806
0.585,0.525,0.474,0.692
0.659,0.255,0.434,0.643
0.908,0.469,0.562,0.739
0.741,0.231,0.744,0.644
0.716,0.422,0.475,0.786
0.463,0.287,0.408,0.079
0.42,0.63,0.23,0.351
