State,Next_State,Reward,Gamma
6,0,-0.89,0.938
5,9,-2.71,0.85
7,15,-0.81,0.935
2,12,-4.97,0.914
1,9,-0.9,0.929
9,11,-1.54,0.908
13,7,-2.69,0.873
0,5,-2.06,0.85
8,12,-4.05,0.925
5,8,0.57,0.895
10,7,-3.17,0.85
4,6,-0.74,0.945
7,1,-0.42,0.905
9,4,-1.35,0.91
3,13,-3.87,0.974
9,6,-3.05,0.891
10,3,-2.26,0.974
13,15,-3.41,0.905
0,9,-1.39,0.94
2,2,-0.07,0.903
5,3,-0.93,0.938
9,5,-1.01,0.904
1,10,-2.61,0.934
5,7,0.49,0.906
3,9,-1.86,0.938
3,0,-2.02,0.915
9,15,-2.97,0.99
7,7,-2.24,0.874
6,1,-3.38,0.881
0,3,-2.53,0.99
5,12,-2.62,0.902
9,13,-0.77,0.939
13,9,-1.33,0.903
0,5,-2.1,0.973
9,13,-3.26,0.949
3,14,-3.35,0.935
7,5,-0.89,0.928
2,6,-5.0,0.938
10,11,-0.91,0.949
1,3,-3.41,0.937
11,1,-1.77,0.884
4,12,-2.21,0.935
8,5,-2.25,0.972
15,4,-3.91,0.877
9,11,-2.23,0.946
5,5,-0.43,0.863
9,8,-2.89,0.869
7,6,-0.55,0.925
2,8,-2.62,0.944
8,1,0.57,0.881
7,4,-3.04,0.99
9,3,-3.95,0.939
9,7,-0.99,0.909
6,9,-5.0,0.85
0,6,-0.78,0.967
2,8,-0.64,0.95
8,10,-2.56,0.894
5,0,2.22,0.927
10,9,-1.09,0.913
8,4,0.07,0.905
4,10,-5.0,0.935
11,11,-5.0,0.953
6,14,-4.98,0.893
8,4,-0.44,0.916
7,15,-2.68,0.876
0,2,-0.54,0.929
0,3,-3.57,0.923
9,10,-2.98,0.895
4,7,-2.3,0.946
0,2,-5.0,0.85
8,7,-2.86,0.893
4,8,-1.07,0.954
3,6,-3.6,0.932
7,3,-0.47,0.897
7,3,-1.98,0.922
2,2,-2.64,0.913
10,6,-3.98,0.946
4,1,-2.99,0.906
5,6,-2.22,0.942
14,8,-0.97,0.867
7,1,-3.07,0.94
3,8,-2.17,0.896
4,3,-0.28,0.908
3,6,-0.41,0.932
4,7,-1.13,0.93
3,15,-1.11,0.917
10,4,-3.92,0.907
2,8,-1.98,0.912
2,7,-2.88,0.98
7,7,-3.57,0.902
5,6,-2.28,0.89
7,6,-4.95,0.953
0,0,-2.9,0.928
0,0,0.29,0.9
7,15,-1.43,0.928
12,3,-4.15,0.89
9,10,-0.14,0.99
2,3,1.5,0.975
10,6,0.52,0.894
6,7,-1.35,0.944
7,11,-2.76,0.94
1,6,1.11,0.974
2,6,-4.81,0.924
4,2,-5.0,0.984
9,7,-3.64,0.968
9,10,-4.61,0.85
1,15,-1.74,0.954
3,0,-4.68,0.864
8,14,-3.49,0.918
9,15,-0.48,0.947
2,7,-0.93,0.882
9,6,-0.54,0.937
4,10,-2.03,0.883
2,11,-5.0,0.922
8,10,-2.26,0.91
7,3,-1.11,0.895
0,11,0.94,0.981
2,0,-2.62,0.931
5,0,-1.05,0.879
9,13,-1.38,0.865
3,11,-5.0,0.955
11,5,-2.59,0.881
5,0,0.19,0.911
2,12,-3.97,0.99
10,12,-1.57,0.9
4,10,-2.33,0.89
5,6,-1.63,0.885
9,8,-3.45,0.879
8,6,0.82,0.94
9,9,-1.1,0.85
8,14,-3.25,0.884
0,7,-1.54,0.878
7,10,-0.82,0.906
2,3,-3.27,0.877
10,3,2.34,0.887
4,5,-2.63,0.896
5,7,-4.29,0.928
4,6,-1.08,0.905
4,6,-2.5,0.99
3,4,-4.04,0.903
6,15,0.74,0.912
11,5,-3.08,0.905
0,6,-1.94,0.956
12,11,-3.53,0.899
13,1,-2.69,0.921
3,10,-3.73,0.888
4,7,-2.96,0.933
2,3,-1.22,0.884
8,8,-3.81,0.882
0,11,4.37,0.99
6,5,10.0,0.974
4,10,5.41,0.878
3,15,5.22,0.949
3,10,7.8,0.936
1,15,1.37,0.905
5,3,6.42,0.965
1,0,6.32,0.904
9,3,5.38,0.928
7,2,7.97,0.987
8,7,7.57,0.91
5,0,7.52,0.949
0,15,5.78,0.875
3,15,5.44,0.919
4,8,7.55,0.897
5,8,8.13,0.923
0,6,10.0,0.954
8,13,7.65,0.905
6,2,9.54,0.987
1,11,3.68,0.878
2,5,8.95,0.945
5,6,4.82,0.941
1,6,8.26,0.941
5,10,5.44,0.873
4,11,7.25,0.96
7,5,10.0,0.94
0,2,10.0,0.981
4,8,7.46,0.935
1,7,5.43,0.927
4,6,5.63,0.855
3,1,5.84,0.915
3,7,7.29,0.888
6,8,5.68,0.856
2,12,5.11,0.96
0,14,9.52,0.863
4,5,5.18,0.895
5,8,7.94,0.864
7,4,9.37,0.96
0,3,4.08,0.93
2,4,7.45,0.924
4,15,2.9,0.896
0,7,6.83,0.99
5,11,4.83,0.961
7,11,8.47,0.909
2,7,5.53,0.869
2,9,4.52,0.965
2,11,5.93,0.855
3,9,5.37,0.872
2,3,6.1,0.948
4,7,4.03,0.904
5,8,7.41,0.907
6,8,3.48,0.89
6,7,3.13,0.934
7,12,6.02,0.957
1,8,6.88,0.974
4,15,6.78,0.975
4,14,7.0,0.908
6,2,9.34,0.888
4,7,2.53,0.887
4,12,6.16,0.947
3,3,5.96,0.942
0,8,6.43,0.897
5,5,8.12,0.966
4,14,8.01,0.936
3,5,5.6,0.862
0,14,6.34,0.902
3,9,4.45,0.99
5,7,9.83,0.888
0,7,6.56,0.928
2,7,-0.18,0.909
2,5,4.28,0.99
5,10,4.86,0.967
3,11,3.28,0.97
2,13,5.91,0.925
6,13,5.42,0.906
1,7,5.15,0.923
3,1,4.74,0.99
4,6,5.62,0.984
3,7,4.7,0.931
4,5,3.77,0.885
6,8,3.75,0.866
4,5,2.57,0.924
0,5,8.81,0.85
4,10,8.69,0.945
5,9,9.37,0.951
5,10,1.82,0.885
6,1,7.07,0.932
3,6,9.0,0.973
1,7,4.91,0.94
3,10,4.36,0.975
2,8,6.03,0.977
0,4,5.63,0.865
6,8,4.56,0.899
8,6,8.28,0.85
3,0,4.48,0.941
4,3,6.51,0.876
1,14,5.89,0.92
9,9,7.7,0.894
6,3,2.47,0.953
3,5,2.87,0.963
6,8,4.89,0.939
2,11,3.24,0.903
4,13,0.96,0.901
2,15,7.14,0.899
3,6,4.89,0.901
0,7,1.21,0.944
4,7,4.73,0.883
8,7,6.16,0.949
0,5,8.43,0.859
2,8,1.76,0.909
4,12,6.33,0.955
8,10,3.38,0.981
3,5,5.06,0.933
6,5,6.75,0.968
5,10,4.46,0.85
8,13,7.56,0.876
1,2,7.1,0.934
3,7,5.82,0.871
4,12,9.77,0.898
1,14,6.2,0.905
0,6,4.43,0.939
3,12,6.41,0.912
4,7,4.57,0.926
4,11,5.87,0.85
3,11,3.49,0.85
4,15,3.14,0.883
6,10,7.99,0.99
4,6,4.15,0.944
4,8,0.45,0.927
2,8,3.1,0.971
7,10,2.81,0.882
6,9,6.64,0.934
3,9,2.2,0.944
2,6,3.07,0.877
2,10,6.4,0.974
4,7,6.6,0.921
9,3,3.52,0.895
9,4,8.99,0.868
0,14,6.87,0.99
3,12,10.0,0.99
9,2,5.02,0.99
2,13,4.19,0.956
3,11,5.63,0.919
4,4,10.0,0.912
7,3,6.6,0.977
7,12,8.99,0.954
5,3,5.32,0.886
7,8,8.21,0.932
3,1,6.49,0.944
1,8,5.21,0.904
3,8,5.81,0.923
5,5,9.96,0.985
6,2,8.55,0.955
1,6,7.26,0.93
0,4,8.16,0.929
11,9,1.75,0.911
14,8,4.37,0.99
12,7,9.46,0.99
15,2,-0.4,0.902
11,8,-2.19,0.907
11,6,8.38,0.866
12,8,6.55,0.855
7,7,1.0,0.924
15,14,6.08,0.943
13,5,5.23,0.925
12,11,6.3,0.86
10,8,7.31,0.967
9,11,0.51,0.899
15,12,1.52,0.944
12,9,4.78,0.913
10,9,-0.11,0.858
10,0,5.21,0.85
11,6,-4.85,0.951
14,8,4.16,0.91
10,8,2.65,0.956
13,8,6.78,0.884
14,8,3.92,0.943
15,6,1.21,0.947
10,9,8.53,0.902
12,5,5.58,0.941
12,6,2.53,0.85
9,4,6.06,0.939
11,12,-2.27,0.978
10,8,5.02,0.903
12,6,4.04,0.919
13,8,-0.68,0.859
9,0,4.89,0.904
13,5,10.0,0.955
11,8,10.0,0.935
12,1,5.64,0.943
14,9,6.99,0.918
11,8,7.26,0.88
9,4,-1.25,0.85
10,13,2.63,0.958
13,3,-1.21,0.9
13,15,2.78,0.933
11,11,-3.1,0.885
15,10,5.41,0.933
9,6,4.13,0.872
9,13,4.57,0.936
13,11,-0.22,0.89
11,0,1.19,0.907
12,12,0.17,0.99
12,4,1.91,0.93
12,13,0.02,0.964
10,7,7.51,0.85
11,15,4.7,0.905
13,8,0.78,0.897
11,6,3.39,0.984
13,8,0.8,0.969
13,10,8.07,0.894
14,5,2.75,0.925
12,6,-2.12,0.99
13,12,9.0,0.938
11,12,-0.1,0.865
11,8,7.27,0.941
9,13,0.38,0.93
11,13,4.32,0.918
12,3,3.07,0.935
13,4,6.76,0.907
12,15,2.79,0.957
9,4,10.0,0.967
10,2,-3.6,0.922
15,11,-5.0,0.975
13,11,0.46,0.898
12,4,5.3,0.899
12,9,-0.18,0.979
10,3,6.48,0.85
15,7,4.42,0.951
14,1,-0.74,0.947
11,8,7.63,0.963
10,13,-3.85,0.867
13,10,9.71,0.915
13,7,10.0,0.9
12,6,10.0,0.99
10,15,3.17,0.934
13,3,4.45,0.973
10,7,4.98,0.88
14,6,3.06,0.889
11,14,2.74,0.886
14,0,4.63,0.911
8,7,2.4,0.889
12,12,7.02,0.863
8,9,3.65,0.96
12,5,7.83,0.968
13,3,5.31,0.95
10,8,5.1,0.919
13,7,10.0,0.961
14,0,10.0,0.99
11,8,6.47,0.975
11,6,7.73,0.878
12,6,-1.59,0.908
14,8,9.61,0.92
12,3,-5.0,0.886
12,4,0.84,0.858
15,12,4.71,0.971
12,4,0.44,0.954
10,10,6.23,0.959
10,6,6.0,0.932
11,15,4.54,0.977
9,6,2.78,0.931
14,5,0.91,0.99
12,9,2.08,0.904
12,9,4.52,0.974
15,2,1.6,0.919
15,0,9.1,0.925
14,4,7.13,0.946
11,7,5.68,0.879
14,14,2.59,0.986
12,12,3.96,0.919
9,3,4.44,0.963
12,5,4.04,0.909
13,10,4.67,0.866
9,5,-2.5,0.884
12,9,2.65,0.94
12,9,-0.64,0.909
11,8,-3.28,0.875
7,12,3.04,0.944
13,5,5.12,0.928
13,11,4.39,0.91
9,9,1.0,0.959
12,4,2.11,0.99
12,7,5.55,0.906
10,12,8.37,0.87
11,9,-3.06,0.909
10,6,0.17,0.923
12,11,0.91,0.96
11,0,5.89,0.85
11,8,-1.28,0.956
15,12,-2.92,0.954
11,10,9.31,0.883
11,15,1.39,0.94
10,5,-1.6,0.923
11,6,9.63,0.916
9,6,7.16,0.91
12,0,3.75,0.859
