State,Next_State,Reward,Gamma
6,7,1.47,0.925
8,4,7.33,0.85
6,1,9.49,0.933
9,4,10.0,0.916
6,6,8.85,0.92
6,1,6.41,0.907
7,0,2.09,0.873
7,8,7.22,0.85
8,1,7.01,0.928
5,4,6.54,0.885
8,1,3.73,0.85
6,5,6.04,0.936
6,5,1.91,0.894
6,3,2.81,0.903
9,3,9.95,0.975
8,2,3.28,0.889
7,3,1.42,0.969
8,0,7.47,0.914
7,7,10.0,0.931
6,8,4.67,0.888
6,6,3.48,0.928
6,3,3.19,0.898
8,5,9.57,0.93
5,4,6.2,0.896
7,4,7.97,0.933
7,8,2.37,0.903
8,0,8.44,0.99
7,3,5.14,0.87
8,6,2.06,0.875
8,9,6.77,0.99
7,2,8.35,0.901
6,0,7.75,0.937
6,0,3.32,0.902
7,8,7.25,0.963
8,0,7.48,0.952
8,3,10.0,0.935
6,4,4.43,0.92
9,6,6.7,0.936
6,0,5.83,0.946
8,8,5.73,0.928
7,3,-0.09,0.878
7,3,8.8,0.933
7,3,3.21,0.967
8,0,-0.49,0.879
7,1,6.02,0.945
6,5,5.1,0.853
7,2,4.19,0.868
6,4,4.46,0.917
8,6,8.15,0.939
5,5,1.58,0.869
8,4,3.57,0.99
8,4,1.99,0.936
6,2,4.29,0.904
9,3,5.94,0.85
7,8,8.38,0.955
6,6,8.05,0.941
7,2,6.13,0.893
4,8,1.05,0.906
6,1,4.58,0.91
5,4,2.86,0.895
9,4,7.69,0.937
9,0,5.12,0.962
9,1,8.86,0.898
6,4,3.15,0.907
7,0,10.0,0.884
6,9,6.56,0.914
9,9,6.75,0.914
8,1,5.91,0.896
7,5,6.36,0.94
9,9,6.01,0.85
8,3,4.38,0.891
6,4,7.07,0.947
8,6,6.61,0.928
6,5,2.94,0.886
7,5,3.03,0.914
8,8,5.04,0.903
8,2,3.24,0.946
8,7,3.55,0.898
7,5,5.39,0.936
6,0,1.91,0.866
8,6,1.96,0.933
7,5,7.69,0.891
6,6,4.53,0.896
6,6,6.34,0.921
7,5,6.43,0.922
6,2,10.0,0.914
8,3,1.58,0.906
7,5,7.95,0.906
8,6,7.0,0.974
8,3,4.73,0.9
7,4,5.2,0.884
9,3,4.26,0.953
8,9,4.15,0.915
6,9,4.3,0.881
6,0,9.97,0.929
8,2,0.58,0.889
5,1,5.81,0.984
5,7,5.05,0.958
5,2,2.92,0.886
7,4,5.48,0.937
8,2,7.46,0.939
5,7,7.27,0.959
9,6,6.74,0.922
9,7,3.54,0.98
8,2,3.6,0.967
9,1,5.3,0.853
7,4,10.0,0.951
9,8,3.08,0.858
8,0,8.17,0.922
6,0,8.9,0.947
6,6,7.27,0.873
6,2,3.47,0.93
7,4,8.22,0.879
9,4,9.07,0.925
7,2,6.1,0.909
6,4,2.91,0.887
5,7,10.0,0.969
8,8,3.7,0.92
6,9,-1.59,0.861
6,0,7.5,0.866
9,4,8.95,0.957
7,2,2.09,0.879
5,7,2.12,0.897
9,4,10.0,0.99
6,0,6.34,0.9
7,4,8.47,0.887
7,5,5.3,0.878
8,2,4.6,0.879
5,3,3.76,0.93
7,5,0.25,0.859
8,8,-2.31,0.885
0,6,-1.51,0.871
6,6,0.4,0.911
1,3,-3.39,0.872
6,1,4.46,0.908
3,4,-2.32,0.896
4,5,-4.22,0.924
3,5,-0.4,0.906
3,5,-2.19,0.99
2,3,-4.22,0.898
7,9,2.41,0.914
8,2,-2.03,0.916
0,7,-2.25,0.942
9,6,-2.32,0.907
8,0,-1.54,0.936
4,7,-3.6,0.882
3,5,-2.67,0.929
1,3,-0.83,0.884
6,5,-3.26,0.883
5,0,-2.17,0.99
4,9,2.33,0.982
3,3,-2.08,0.877
0,0,-1.43,0.948
4,3,0.41,0.943
3,0,-4.76,0.898
6,7,-1.78,0.961
9,6,-1.15,0.91
3,9,-3.77,0.914
5,9,-1.08,0.981
2,8,-1.18,0.907
9,9,-1.33,0.948
3,0,-0.5,0.884
0,0,-1.21,0.92
4,5,-0.18,0.903
3,6,0.06,0.927
8,3,4.78,0.98
0,6,-0.85,0.902
6,9,0.77,0.99
5,0,-2.88,0.879
6,5,1.31,0.955
4,6,-3.23,0.933
7,4,1.1,0.953
3,4,-2.23,0.871
2,3,-0.21,0.963
3,9,1.8,0.947
9,5,3.37,0.99
4,4,-0.24,0.938
7,3,-1.63,0.929
5,6,-2.28,0.855
9,6,-1.98,0.915
5,4,-0.21,0.895
2,6,-2.56,0.852
3,2,-1.91,0.958
3,0,3.09,0.886
6,6,-2.78,0.891
3,6,-0.18,0.869
4,9,0.44,0.961
9,2,-2.41,0.933
8,5,-0.2,0.93
0,0,-3.85,0.888
8,2,0.18,0.99
2,4,-2.96,0.952
0,6,0.03,0.911
6,4,-1.85,0.872
5,3,-2.67,0.96
4,2,-1.18,0.86
4,3,-2.05,0.872
9,5,-1.41,0.95
4,4,-3.67,0.897
3,5,-0.56,0.91
3,5,-4.45,0.879
4,6,-4.94,0.919
0,5,-2.2,0.948
6,3,-0.16,0.98
0,0,-0.24,0.977
0,2,-0.41,0.911
5,9,0.51,0.894
5,4,-5.0,0.876
2,3,-1.3,0.946
7,6,-1.99,0.939
9,0,0.34,0.912
5,7,-0.2,0.967
0,3,0.51,0.941
7,5,-1.96,0.865
5,0,0.35,0.915
5,3,-2.95,0.99
3,7,1.54,0.898
8,2,-0.07,0.937
7,2,-5.0,0.891
7,4,-3.0,0.99
3,4,-2.85,0.958
4,2,-3.8,0.961
3,0,-0.86,0.929
0,3,-2.32,0.902
7,2,-1.77,0.926
9,6,-3.07,0.99
5,5,-2.1,0.979
5,4,-2.89,0.925
6,5,-4.02,0.877
3,5,-4.35,0.855
6,5,-5.0,0.911
9,3,2.02,0.852
3,5,0.83,0.951
3,5,1.4,0.959
3,3,-5.0,0.871
6,9,-1.7,0.928
6,5,1.4,0.983
7,3,-2.16,0.94
4,3,-2.86,0.969
5,3,-1.18,0.978
9,3,-1.26,0.873
3,5,-3.53,0.89
2,9,-0.78,0.85
9,7,-3.42,0.935
6,7,-1.63,0.877
3,0,-0.69,0.926
0,8,-1.19,0.89
6,7,-5.0,0.934
7,5,-4.74,0.95
3,6,-3.2,0.93
4,1,-3.73,0.897
2,1,-5.0,0.885
1,1,0.24,0.907
6,5,-2.7,0.898
9,1,-5.0,0.935
5,4,-2.91,0.88
2,8,-2.7,0.938
8,3,1.47,0.877
6,2,-5.0,0.898
2,2,-0.98,0.955
0,6,-5.0,0.96
6,5,-2.68,0.929
4,7,-1.61,0.963
3,4,-3.27,0.85
0,5,-0.77,0.875
9,6,-0.44,0.94
5,4,-1.63,0.874
1,4,2.14,0.911
3,0,-0.4,0.912
9,2,-2.15,0.941
3,2,-0.75,0.916
5,5,-3.21,0.919
3,3,-1.61,0.85
3,2,-3.65,0.85
0,0,-3.82,0.876
1,5,-0.14,0.99
5,5,-3.51,0.935
5,3,-5.0,0.907
6,2,-3.89,0.963
1,5,-5.0,0.866
2,5,-1.43,0.931
5,3,-5.0,0.931
7,3,-4.16,0.871
5,2,-0.65,0.976
5,5,-1.11,0.923
4,9,-5.0,0.876
2,9,-0.46,0.868
3,0,0.43,0.99
2,3,4.34,0.99
4,9,-4.28,0.99
3,0,-2.63,0.952
3,2,-1.62,0.919
5,7,2.26,0.925
4,9,-2.2,0.969
0,6,0.68,0.957
6,7,-2.94,0.881
2,7,-0.29,0.932
9,7,-1.61,0.943
7,2,-1.58,0.908
5,3,-1.53,0.924
5,8,1.55,0.99
6,9,-0.11,0.956
7,3,0.18,0.939
9,3,1.42,0.945
4,3,-0.95,0.918
4,5,-3.75,0.99
3,8,-1.57,0.99
9,3,-5.0,0.896
6,1,-0.34,0.92
4,8,-0.23,0.875
3,6,-2.15,0.859
5,3,3.25,0.948
0,4,-5.0,0.924
6,6,-2.9,0.92
2,5,-1.96,0.864
3,7,0.05,0.968
3,1,1.23,0.917
2,1,-5.0,0.924
3,5,-1.84,0.913
5,2,0.53,0.878
9,8,0.87,0.85
9,0,-1.11,0.96
4,5,-3.64,0.905
4,4,0.11,0.963
3,6,-2.88,0.882
4,4,-4.02,0.933
6,3,-4.61,0.937
2,7,0.77,0.911
5,6,-1.75,0.94
6,4,-1.6,0.85
6,7,1.14,0.949
4,0,-0.66,0.982
3,5,-0.12,0.912
6,5,-1.91,0.921
6,1,-3.48,0.864
9,9,1.45,0.922
3,9,-3.16,0.941
0,9,-0.68,0.93
8,8,-1.64,0.943
2,6,-4.39,0.906
3,6,-0.62,0.887
8,2,1.87,0.873
1,2,0.19,0.963
9,3,-2.9,0.904
0,1,-3.03,0.927
5,0,-1.2,0.897
2,5,-5.0,0.913
5,5,1.58,0.892
1,3,0.97,0.945
3,1,-3.56,0.89
2,0,3.2,0.916
2,8,4.44,0.99
2,2,4.26,0.934
2,9,4.49,0.965
0,4,8.38,0.85
1,9,8.14,0.91
3,5,4.16,0.904
2,4,5.63,0.982
3,6,4.3,0.968
3,6,9.2,0.893
4,3,4.97,0.924
2,5,2.1,0.99
3,7,10.0,0.93
1,8,4.21,0.88
1,4,8.33,0.94
0,9,4.79,0.941
1,8,7.26,0.921
2,2,4.98,0.938
3,2,7.53,0.905
2,9,6.57,0.957
0,1,10.0,0.96
1,2,0.42,0.937
5,9,0.88,0.976
3,8,4.45,0.905
2,2,6.53,0.904
2,6,3.74,0.98
1,1,7.11,0.85
4,5,6.47,0.945
4,1,2.15,0.949
1,4,8.59,0.958
1,9,1.98,0.888
2,6,10.0,0.91
3,4,10.0,0.896
2,2,10.0,0.976
1,9,6.77,0.939
3,2,5.82,0.967
1,4,6.79,0.89
3,4,5.4,0.893
2,9,6.36,0.895
3,0,4.94,0.912
0,4,5.07,0.904
2,7,8.9,0.868
0,6,6.23,0.965
2,3,8.38,0.96
3,2,6.41,0.946
1,5,7.08,0.923
3,2,10.0,0.944
3,0,9.38,0.99
2,5,7.95,0.97
1,3,8.36,0.883
2,5,2.35,0.918
3,4,9.97,0.913
2,3,-1.24,0.905
2,3,3.67,0.872
5,8,7.4,0.961
2,3,3.36,0.957
1,6,8.09,0.957
1,4,7.34,0.935
2,9,8.04,0.972
0,4,5.24,0.939
4,4,3.91,0.99
2,6,5.26,0.91
2,6,6.8,0.97
4,2,3.82,0.921
4,0,8.32,0.917
3,2,7.72,0.939
1,4,7.19,0.886
3,9,6.38,0.979
2,8,6.89,0.92
0,2,5.83,0.965
2,3,5.9,0.912
3,7,7.11,0.871
0,4,1.67,0.903
2,6,5.61,0.941
2,6,3.38,0.917
1,6,1.53,0.893
0,8,6.24,0.953
3,3,6.61,0.928
3,7,6.99,0.911
0,6,4.57,0.964
3,3,4.49,0.99
2,4,7.13,0.909
0,7,9.82,0.877
1,7,1.88,0.922
0,4,3.52,0.934
2,7,4.71,0.962
1,0,5.59,0.853
1,6,2.83,0.962
4,9,2.5,0.956
2,5,9.99,0.885
2,9,5.9,0.944
1,4,2.25,0.935
1,3,9.62,0.915
0,3,8.08,0.915
2,0,4.95,0.869
2,4,8.09,0.968
2,0,6.61,0.945
1,5,7.94,0.89
4,8,5.72,0.921
0,3,10.0,0.856
0,5,5.02,0.956
4,3,5.97,0.955
0,4,8.53,0.891
2,4,8.63,0.921
2,4,7.83,0.935
2,1,3.28,0.926
3,7,5.39,0.934
0,3,5.64,0.926
2,5,6.74,0.851
2,3,6.19,0.883
3,9,7.79,0.936
0,2,2.33,0.961
4,8,7.4,0.912
2,5,5.53,0.953
4,8,10.0,0.855
0,7,3.28,0.911
2,1,7.13,0.948
1,8,2.52,0.92
4,0,8.66,0.977
2,1,8.05,0.928
1,2,5.53,0.922
1,6,6.05,0.918
2,4,7.14,0.979
3,6,6.7,0.909
1,8,4.96,0.941
1,0,9.48,0.921
2,9,0.35,0.95
1,0,8.16,0.894
0,4,7.5,0.947
5,2,5.93,0.888
4,0,7.71,0.99
1,1,5.5,0.918
2,9,8.85,0.937
2,8,5.61,0.909
3,6,6.92,0.907
3,6,6.11,0.92
1,0,3.91,0.9
0,2,3.3,0.99
2,8,5.35,0.934
3,6,4.51,0.928
2,4,6.66,0.963
3,7,10.0,0.919
4,5,7.1,0.956
1,2,5.58,0.871
3,3,4.37,0.943
1,7,4.8,0.94
3,7,4.12,0.952
2,5,3.59,0.893
1,4,8.07,0.913
0,2,7.32,0.927
