State,Action,Next_State,Reward
5,1,0,5.38
6,0,3,7.05
4,0,5,0.97
8,0,3,6.24
0,0,3,5.83
7,1,4,5.87
7,1,3,4.9
4,0,1,3.29
4,1,4,0.88
3,0,3,6.57
9,1,2,3.52
3,0,2,1.59
7,1,0,7.31
7,1,1,4.86
6,0,4,5.14
3,1,3,9.6
3,1,2,4.43
6,1,7,9.58
4,0,2,5.17
5,0,0,6.87
7,1,0,4.44
6,1,2,7.02
7,0,2,4.78
4,0,2,6.66
9,0,2,4.3
5,1,0,7.05
4,0,5,5.6
5,1,3,10.0
4,1,0,3.05
2,0,0,4.0
4,0,4,10.0
5,0,5,4.5
8,1,3,6.64
7,0,0,4.88
5,0,5,9.12
5,0,4,7.83
3,1,2,6.85
7,0,1,6.27
0,1,5,7.62
8,0,0,7.66
2,1,1,7.36
5,0,3,3.81
5,1,2,6.76
5,1,3,9.56
3,1,4,3.84
6,0,1,7.67
7,1,2,1.73
4,1,2,2.84
7,0,2,5.98
4,1,1,7.55
8,1,1,3.1
4,1,2,10.0
2,1,3,7.84
7,0,3,4.98
0,0,2,2.04
6,0,2,8.49
7,0,3,7.29
4,1,0,4.48
9,1,2,5.6
7,1,1,5.39
8,0,2,4.58
0,1,5,7.41
0,0,6,9.08
1,1,2,4.59
8,0,7,5.09
5,0,0,2.81
6,0,0,6.21
2,1,4,6.23
4,0,2,4.45
4,0,0,7.76
0,1,3,1.69
4,0,3,4.39
7,0,1,7.87
2,1,1,7.07
7,1,0,4.27
5,0,0,6.31
3,1,3,5.56
2,1,1,8.37
3,0,2,5.38
5,1,4,7.36
7,1,0,2.6
3,0,3,7.69
4,0,1,4.31
7,0,1,4.83
7,0,1,6.25
7,0,4,6.17
7,1,1,5.15
2,0,3,5.78
5,0,2,5.19
4,1,3,9.94
3,1,2,5.14
4,1,2,3.98
0,0,0,9.03
2,0,0,6.88
8,0,5,3.87
7,1,1,6.06
2,1,4,4.68
9,0,0,10.0
9,1,2,8.72
9,0,1,3.83
7,0,4,7.21
4,0,1,7.3
9,0,1,8.62
0,1,1,6.84
0,1,4,10.0
4,1,4,9.48
1,0,4,1.69
5,1,0,7.77
0,1,6,2.8
4,0,6,5.74
9,0,1,7.17
6,1,2,3.04
8,0,3,6.77
5,0,3,3.18
0,1,4,6.59
5,1,1,5.36
6,0,2,4.22
9,0,0,8.99
2,1,0,7.2
5,1,5,3.27
7,0,3,1.97
0,1,3,8.71
4,1,0,3.9
8,0,3,4.96
3,1,5,10.0
7,0,3,4.37
4,0,2,3.84
5,1,3,3.46
3,1,2,3.61
9,1,2,6.63
7,0,4,0.9
4,0,1,3.75
5,0,3,2.74
7,0,0,4.72
2,1,2,3.39
9,0,0,3.08
3,0,2,4.5
1,0,2,6.97
6,0,1,4.67
4,0,1,10.0
2,0,6,5.07
9,1,1,4.37
3,0,3,-0.67
4,1,5,-5.0
3,1,3,-0.86
4,0,4,-3.24
2,0,1,-1.85
3,0,5,-0.6
6,1,1,-2.4
2,1,1,-0.29
3,0,8,-4.78
9,0,9,-1.26
3,0,2,2.86
4,1,6,-1.72
6,1,6,1.3
0,0,1,-4.22
4,1,6,-5.0
5,0,2,-3.82
2,0,3,-4.88
5,0,8,-3.49
6,1,2,-5.0
4,1,6,0.95
5,0,2,3.25
4,0,4,-1.82
6,0,3,-1.8
6,1,4,-2.49
9,0,8,0.28
6,0,3,-4.51
7,1,9,-1.05
3,1,0,-2.76
8,0,6,-2.66
2,1,5,-3.29
7,0,6,-1.11
4,0,1,0.09
6,0,7,-3.93
9,1,6,-4.4
9,0,9,-2.1
6,1,5,-2.3
4,0,4,-2.98
4,1,0,-3.85
4,1,3,-2.1
6,0,2,-1.27
4,1,0,0.52
3,1,7,0.31
9,0,1,-2.12
3,0,2,-1.62
7,0,0,-2.99
7,1,7,-4.18
3,1,4,-4.02
5,0,5,2.65
1,1,1,-2.19
5,0,9,-1.68
2,0,6,-1.77
7,1,4,-1.97
4,1,0,-0.81
2,1,7,-1.39
5,0,0,-0.48
4,1,0,-3.57
4,0,6,-2.49
2,0,2,-2.02
6,0,3,-1.49
1,0,1,-2.43
0,0,4,-0.84
3,1,6,-2.58
5,0,9,1.46
5,0,8,0.08
6,0,3,-4.42
8,1,2,-1.54
0,0,1,-0.29
5,1,5,-4.61
4,1,5,-1.93
7,0,3,-2.88
5,0,8,-0.02
7,1,5,-3.21
4,1,0,1.46
6,1,3,-1.27
2,0,9,-3.81
9,1,3,-1.42
6,1,5,-2.17
0,1,1,-3.54
2,0,9,-2.31
2,1,7,-1.43
0,1,7,-0.56
5,0,5,0.0
3,1,3,-2.01
4,1,3,-4.78
2,1,9,-4.11
3,1,8,-3.28
3,1,4,-3.29
2,0,1,-1.72
2,1,0,-2.76
0,1,3,-3.62
9,0,0,0.23
7,0,6,-1.83
8,0,7,-1.08
0,0,0,-5.0
4,1,4,-2.75
7,1,8,-2.73
3,1,5,-1.48
2,1,7,-2.72
4,1,7,-4.16
5,0,0,-1.18
2,0,2,-2.95
7,1,0,-3.68
2,0,4,-4.44
4,1,1,1.23
5,0,4,-1.79
6,0,2,-3.61
0,1,4,-4.12
0,0,6,-3.0
2,1,5,-0.94
1,0,2,0.23
0,0,2,0.78
7,1,3,-2.32
3,1,2,-2.05
0,0,4,-2.86
3,0,1,-2.33
3,1,5,-3.53
8,1,1,-0.61
0,0,2,-0.44
4,0,7,-1.43
0,1,7,-4.52
3,0,4,-3.51
4,0,7,-1.81
3,0,0,1.21
6,1,1,-3.86
6,1,5,-2.32
4,0,1,0.31
9,1,4,1.29
6,1,3,-2.46
3,0,5,-0.62
5,0,3,-2.14
2,0,4,-1.08
5,0,0,0.56
2,0,0,2.94
1,0,1,-0.84
5,1,9,-3.38
2,1,5,-2.43
0,1,3,-2.48
1,0,7,-1.99
0,0,0,-1.51
4,1,5,-1.75
0,1,4,-3.35
1,1,0,-0.77
5,1,8,-3.12
5,0,4,-4.2
0,0,0,-4.08
6,1,1,1.77
5,0,9,-1.38
9,0,9,-5.0
0,1,9,-1.23
2,1,6,-1.42
4,0,3,-3.59
9,0,4,-3.49
3,0,8,-1.32
7,0,6,-4.23
3,0,1,-1.66
6,1,4,-5.0
4,1,5,-2.05
4,1,3,-1.76
4,0,4,-3.54
8,0,9,-5.0
6,1,6,-2.99
6,1,5,-3.65
8,1,5,-0.83
5,0,4,-1.99
9,1,8,1.01
9,0,9,4.38
3,0,6,-1.26
4,1,8,5.36
1,1,7,6.24
0,0,6,3.4
5,1,5,10.0
5,1,8,-1.26
5,1,6,2.35
0,1,7,3.61
8,0,5,6.51
3,0,5,7.67
5,1,7,-3.34
4,0,6,3.71
0,0,9,6.66
0,0,6,7.71
7,1,7,4.15
3,0,6,1.18
7,1,7,6.28
2,1,7,2.42
6,0,7,0.63
6,1,7,-0.34
3,1,8,7.57
6,0,7,3.95
0,1,8,3.94
6,0,5,8.04
9,1,7,4.81
3,0,7,6.11
4,0,6,3.62
0,0,9,1.06
3,1,9,8.54
6,1,8,2.39
5,0,9,5.88
6,1,7,4.18
4,1,7,0.28
2,0,7,5.57
0,1,4,8.59
7,0,8,6.27
3,1,3,1.98
5,0,5,1.75
2,1,6,4.05
5,0,7,-2.36
2,1,5,8.5
6,0,5,7.52
2,0,9,0.92
4,0,5,5.19
9,0,8,2.64
5,0,4,3.96
7,1,8,2.39
0,1,3,7.55
3,0,6,4.85
3,0,7,1.37
9,0,6,4.93
8,1,7,1.99
2,0,8,2.85
4,0,6,0.14
9,1,7,3.35
5,0,5,1.72
1,1,7,4.6
6,0,4,6.02
6,1,5,8.0
4,0,8,4.56
5,1,8,4.52
3,1,4,1.83
7,1,9,3.39
8,0,8,9.03
5,0,4,5.96
8,0,5,-2.51
3,1,8,1.63
3,0,6,4.69
8,1,9,3.83
0,1,7,6.47
6,0,9,-0.76
6,1,7,0.2
8,0,4,5.34
1,1,6,5.73
4,1,8,3.1
3,1,9,2.48
9,1,5,4.23
5,0,9,6.06
8,1,7,1.66
2,0,7,6.97
2,1,4,1.22
2,0,9,4.19
3,0,7,1.76
3,1,5,9.19
0,1,6,3.21
8,1,8,9.33
7,0,9,3.47
6,1,7,2.75
4,1,9,6.8
7,1,9,2.7
9,1,7,2.12
8,1,8,4.71
1,0,6,5.7
3,1,7,3.1
4,0,7,1.28
2,0,7,3.17
0,1,5,3.8
7,0,8,-1.92
7,1,6,3.92
7,1,8,6.2
6,1,4,7.24
8,0,7,4.04
5,0,7,7.55
9,0,7,0.29
3,1,6,3.52
8,0,9,3.57
4,1,9,-0.13
4,1,8,-0.05
6,1,7,1.42
2,1,4,5.43
9,1,6,0.21
4,0,8,2.83
8,0,8,7.92
4,1,6,3.23
0,0,6,1.34
2,0,6,7.37
6,0,6,3.01
4,0,6,2.82
2,1,5,4.59
7,1,8,10.0
5,1,6,3.07
4,0,6,2.49
7,0,8,7.13
9,1,8,2.93
3,1,5,4.22
1,0,5,7.55
4,0,7,4.47
5,0,5,7.13
7,0,9,3.49
0,0,6,6.26
7,0,4,4.58
6,1,7,-1.15
2,1,3,4.96
6,0,7,3.73
5,1,8,6.14
4,1,8,6.11
4,0,9,8.65
0,1,7,3.88
8,0,9,3.08
6,1,7,4.65
2,0,5,5.18
4,1,8,-1.99
0,0,6,9.97
7,0,8,9.22
7,1,7,-1.07
2,1,7,10.0
4,1,7,4.56
5,0,9,3.57
4,0,6,4.46
5,0,8,1.06
5,1,7,7.82
0,0,7,4.56
1,1,5,3.65
5,0,8,1.0
7,1,5,7.99
4,0,6,-0.35
7,1,6,4.58
0,0,5,-0.04
3,1,9,7.65
7,0,5,5.13
3,1,9,5.94
9,1,9,1.0
5,0,8,4.21
4,0,6,5.67
4,1,7,5.54
9,1,6,4.96
3,0,5,1.91
5,1,9,4.47
5,0,4,8.0
5,1,9,2.06
2,1,7,6.68
6,0,9,10.0
1,1,9,-2.56
9,0,9,0.56
4,1,3,5.67
6,0,5,3.33
3,1,6,3.15
3,1,6,2.14
4,0,9,0.49
2,0,8,7.05
9,0,6,10.0
5,0,6,4.31
4,1,7,2.34
8,1,6,4.77
5,1,7,2.02
7,0,8,0.5
0,0,8,7.27
6,0,6,1.07
6,0,6,6.21
6,0,6,0.3
2,1,7,4.23
4,1,8,6.31
